"","db","query","kingdom","phylum","class","order","family","genus","species","community"
"100","ncbi","Harpalus decipiens","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus decipiens","macrofauna_surface"
"101","ncbi","Insecta","Metazoa","Arthropoda","Insecta","unassigned","unassigned","unassigned","unassigned","macrofauna_surface"
"102","ncbi","Agriolimacidae","Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","unassigned","unassigned","macrofauna_surface"
"103","ncbi","Dermaptera","Metazoa","Arthropoda","Insecta","Dermaptera","unassigned","unassigned","unassigned","macrofauna_surface"
"104","ncbi","Sepedophilus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Sepedophilus","unassigned","macrofauna_surface"
"105","ncbi","Odiellus troguloides","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Odiellus","Odiellus troguloides","macrofauna_surface"
"106","ncbi","Opiliones","Metazoa","Arthropoda","Arachnida","Opiliones","unassigned","unassigned","unassigned","macrofauna_surface"
"107","ncbi","Orthoptera","Metazoa","Arthropoda","Insecta","Orthoptera","unassigned","unassigned","unassigned","macrofauna_surface"
"108","ncbi","Harpalus luteicornis","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalus","Harpalus luteicornis","macrofauna_surface"
"109","ncbi","Scymnus frontalis","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Scymnus","Scymnus frontalis","macrofauna_surface"
"110","ncbi","Gastrophysa","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Gastrophysa","unassigned","macrofauna_surface"
"111","ncbi","Camarota","Metazoa","Arthropoda","Insecta","Diptera","Chloropidae","Camarota","unassigned","macrofauna_surface"
"112","ncbi","Nomisia","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Nomisia","unassigned","macrofauna_surface"
"113","ncbi","Deltocephalinae","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","unassigned","unassigned","macrofauna_surface"
"114","ncbi","Alticini","Metazoa","Arthropoda","Insecta","Coleoptera","Chrysomelidae","unassigned","unassigned","macrofauna_surface"
"115","ncbi","Cataglyphis piliscapa","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Cataglyphis","Cataglyphis piliscapa","macrofauna_surface"
"116","ncbi","Hippodamia variegata","Metazoa","Arthropoda","Insecta","Coleoptera","Coccinellidae","Hippodamia","Hippodamia variegata","macrofauna_surface"
"117","ncbi","Chalcoscirtus","Metazoa","Arthropoda","Arachnida","Araneae","Salticidae","Chalcoscirtus","unassigned","macrofauna_surface"
"118","ncbi","Chorthippus brunneus","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Chorthippus","Chorthippus brunneus","macrofauna_surface"
"119","ncbi","Xantholinus","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Xantholinus","unassigned","macrofauna_surface"
"120","ncbi","Omocestus rufipes","Metazoa","Arthropoda","Insecta","Orthoptera","Acrididae","Omocestus","Omocestus rufipes","macrofauna_surface"
"121","ncbi","Philodromidae","Metazoa","Arthropoda","Arachnida","Araneae","Philodromidae","unassigned","unassigned","macrofauna_surface"
"122","ncbi","Phalangium","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Phalangium","unassigned","macrofauna_surface"
