queryName;queryId;matchName;matchId;interactionId;interactionName;resourceId;resourceName;reference;graph
Mononchidae;NA;Clarkus;"c(""NCBITaxon:211395"", ""NCBI:211395"", ""GBIF:8173203"", ""https://tree.opentreeoflife.org/opentree/ottol@79663"")";RO:0002470;eats;NCBI:6388;Enchytraeidae;NA;gratin:hedde_misc1
Mononchidae;NA;Prionchulus;"c(""NCBITaxon:293872"", ""NCBI:293872"", ""GBIF:2282533"", ""https://tree.opentreeoflife.org/opentree/ottol@577264"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:nematrait
Mononchidae;NA;Prionchulus;"c(""NCBITaxon:293872"", ""NCBI:293872"", ""GBIF:2282533"", ""https://tree.opentreeoflife.org/opentree/ottol@577264"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:nematrait
Mononchidae;NA;Prionchulus;"c(""NCBITaxon:293872"", ""NCBI:293872"", ""GBIF:2282533"", ""https://tree.opentreeoflife.org/opentree/ottol@577264"")";RO:0002470;eats;GBIF:5967481;Nematoda;NA;gratin:nematrait
Mononchidae;NA;Prionchulus;"c(""NCBITaxon:293872"", ""NCBI:293872"", ""GBIF:2282533"", ""https://tree.opentreeoflife.org/opentree/ottol@577264"")";RO:0002470;eats;GBIF:3565;Enchytraeidae;NA;gratin:nematrait
Qudsianematidae;NA;Discolaimus;"c(""NCBITaxon:211252"", ""NCBI:211252"", ""GBIF:2282615"", ""https://tree.opentreeoflife.org/opentree/ottol@968984"")";RO:0002470;eats;GBIF:4;Chromista;NA;gratin:hedde_misc1
Qudsianematidae;NA;Discolaimus;"c(""NCBITaxon:211252"", ""NCBI:211252"", ""GBIF:2282615"", ""https://tree.opentreeoflife.org/opentree/ottol@968984"")";RO:0002470;eats;NCBI:6231;Nematoda;NA;gratin:hedde_misc1
Qudsianematidae;NA;Discolaimus;"c(""NCBITaxon:211252"", ""NCBI:211252"", ""GBIF:2282615"", ""https://tree.opentreeoflife.org/opentree/ottol@968984"")";RO:0002470;eats;NCBI:6388;Enchytraeidae;NA;gratin:hedde_misc1
Qudsianematidae;NA;Discolaimus;"c(""NCBITaxon:211252"", ""NCBI:211252"", ""GBIF:2282615"", ""https://tree.opentreeoflife.org/opentree/ottol@968984"")";RO:0002470;eats;NCBI:10190;Rotifera;NA;gratin:hedde_misc1
Qudsianematidae;NA;Discolaimus;"c(""NCBITaxon:211252"", ""NCBI:211252"", ""GBIF:2282615"", ""https://tree.opentreeoflife.org/opentree/ottol@968984"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;NCBI:4751;Fungi;NA;gratin:hedde_misc1
Qudsianematidae;NA;Ecumenicus;"c(""NCBITaxon:211288"", ""NCBI:211288"", ""https://tree.opentreeoflife.org/opentree/ottol@579888"", ""GBIF:4405791"")";RO:0002470;eats;GBIF:7;Protozoa;NA;gratin:hedde_misc1
